Part Type,Part Number,Schematic Part,Part Value,Current - Reverse Leakage @ Vr,Impedance (Max) (Zzt),Voltage - Forward (Vf) (Max) @ If,Voltage - Zener (Nom) (Vz),Tolerance,Allegro PCB Footprint,Package / Case,Pspice Model,Power - Max,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE ZENER,BZX84C3V3W-7-F,diodes\Diode_ZENER,,5µA @ 1V,95 Ohms,900mV @ 10mA,3.3V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 3.3V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5231BW-7-F,diodes\Diode_ZENER,,5µA @ 2V,17 Ohms,900mV @ 10mA,5.1V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds31037.pdf,DIODE ZENER 5.1V 200MW SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5221BW-7-F,diodes\Diode_ZENER,,100µA @ 1V,30 Ohms,900mV @ 10mA,2.4V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds31037.pdf,DIODE ZENER 2.4V 200MW SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5232BW-7-F,diodes\Diode_ZENER,,5µA @ 3V,11 Ohms,900mV @ 10mA,5.6V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds31037.pdf,DIODE ZENER 5.6V 200MW SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C9V1W-7-F,diodes\Diode_ZENER,,500nA @ 6V,15 Ohms,900mV @ 10mA,9.1V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 9.1V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C13W-7-F,diodes\Diode_ZENER,,100nA @ 8V,30 Ohms,900mV @ 10mA,13V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 13V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5230BW-7-F,diodes\Diode_ZENER,,5µA @ 2V,19 Ohms,900mV @ 10mA,4.7V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds31037.pdf,DIODE ZENER 4.7V 200MW SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,BZX84C6V2W-7-F,diodes\Diode_ZENER,,3µA @ 4V,10 Ohms,900mV @ 10mA,6.2V,±6%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds30066.pdf,DIODE ZENER 6.2V 200MW SOT323,Surface Mount,,2,-65°C ~ 125°C,,Diodes Incorporated,,,
DIODE ZENER,MMBZ5240BW-7-F,diodes\Diode_ZENER,,3µA @ 8V,17 Ohms,900mV @ 10mA,10V,±5%,,"SC-70, SOT-323",,200mW,,https://www.diodes.com/assets/Datasheets/ds31037.pdf,DIODE ZENER 10V 200MW SOT323,Surface Mount,,2,-65°C ~ 150°C,,Diodes Incorporated,,,
DIODE ZENER,CMSZ5222B TR PBFREE,diodes\Diode_ZENER,,100µA @ 1V,30 Ohms,900mV @ 10mA,2.5V,±5%,,"SC-70, SOT-323",,500mW,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMSZ5221B-61B.PDF,DIODE ZENER 2.5V 500MW SOT323,Surface Mount,,2,-65°C ~ 175°C,,Central Semiconductor Corp,,,
