Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,"Automotive, Boardflex Sensitive",GCJ55DR72J104KXJ1L,capacitors\2220_5750Metric,0.1uF,±10%,Soft Termination,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c03e.ashx?la=en-us,CAP CER 0.1UF 630V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,General Purpose,2220PC105KAT1A,capacitors\2220_5750Metric,1uF,±10%,,250V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,http://datasheets.avx.com/TipAndRing.pdf,CAP CER 1UF 250V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,Automotive,CGA9M4X7T2W684K200KA,capacitors\2220_5750Metric,0.68uF,±10%,,450V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_midvoltage_en.pdf?ref_disty=digikey,CAP CER 0.68UF 450V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,TDK Corporation,,,
Capacitor,"Automotive, Bypass, Decoupling",C2220C224KBRACAUTO,capacitors\2220_5750Metric,0.22uF,±10%,"Low ESL, High Voltage",630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C224KBRACAUTO.pdf,CAP CER 2220 220NF 630V X7R 10%,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,"Automotive, Bypass, Decoupling",C2220C154KBRACAUTO,capacitors\2220_5750Metric,0.15uF,±10%,"Low ESL, High Voltage",630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C154KBRACAUTO.pdf,CAP CER 2220 150NF 630V X7R 10%,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C2220C154KBRAC7800,capacitors\2220_5750Metric,0.15uF,±10%,"Low ESL, High Voltage",630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C154KBRAC7800.pdf,CAP CER 0.15UF 630V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C2220C224KBRAC7800,capacitors\2220_5750Metric,0.22uF,±10%,"Low ESL, High Voltage",630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C224KBRAC7800.pdf,CAP CER 0.22UF 630V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,GR455DR73D103KW01L,capacitors\2220_5750Metric,10000pF,±10%,,2000V (2kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GR455DR73D103KW01-01.pdf,CAP CER 10000PF 2KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,"Automotive, Bypass, Decoupling",C2220C472KHRACAUTO,capacitors\2220_5750Metric,4700pF,±10%,"Low ESL, High Voltage",3000V (3kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C472KHRACAUTO.pdf,CAP CER 4700PF 3KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,Automotive,GC355DD72W224KX01L,capacitors\2220_5750Metric,0.22uF,±10%,,450V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c03e.ashx?la=en-us,CAP CER 0.22UF 450V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
