Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,"Automotive, Bypass, Decoupling",AVS106M16B12T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,26.5Ohm @ 120Hz,,47.6mA @ 10kHz,28mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.cde.com/resources/catalogs/AVS.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Cornell Dubilier Electronics (CDE),,,
,Audio,UUQ1V4R7MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,22.5mA @ 10kHz,15mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uuq.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Audio,UUQ0J220MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,33mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uuq.pdf,CAP ALUM 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Audio,UUQ1H2R2MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,,16.5mA @ 10kHz,11mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uuq.pdf,CAP ALUM 2.2UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Audio,UUQ1H3R3MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,,21mA @ 10kHz,14mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uuq.pdf,CAP ALUM 3.3UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-HA1H1R0R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,17mA @ 10kHz,10mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,EMVA630ADA1R0MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,14.4mA @ 100kHz,8mA @ 120Hz,2000 Hrs @ 85°C,Polar,63V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 1UF 20% 63V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,Automotive,EEE-1CA4R7NR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,34mA @ 10kHz,20mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 4.7UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Audio,UUQ1A100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,33mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uuq.pdf,CAP ALUM 10UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,General Purpose,UWT0G220MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,33mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,4V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 22UF 20% 4V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWT1E4R7MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,19.5mA @ 10kHz,13mA @ 120Hz,1000 Hrs @ 105°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 4.7UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,High Temperature Reflow,UWZ1H2R2MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,,16.5mA @ 10kHz,11mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,CAP ALUM 2.2UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-1HA3R3SR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,,27.2mA @ 10kHz,16mA @ 120Hz,2000 Hrs @ 85°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 3.3UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,General Purpose,AVE226M06B12T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,21.1Ohm @ 120Hz,,28.75mA @ 10kHz,23mA @ 120Hz,2000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.cde.com/resources/catalogs/AVE.pdf,CAP ALUM 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Cornell Dubilier Electronics (CDE),,,
,Automotive,EEE-1AA330WAR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,49.3mA @ 10kHz,29mA @ 120Hz,1000 Hrs @ 85°C,Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,CAP ALUM 33UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,General Purpose,EMVA630ADAR10MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",0.1uF,±20%,,,,1.3mA @ 120Hz,2000 Hrs @ 85°C,Polar,63V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVA_Series_Rev_Sep2009.pdf,CAP ALUM 0.1UF 20% 63V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,Automotive,EEE-1AA330WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,49.3mA @ 10kHz,29mA @ 120Hz,1000 Hrs @ 85°C,Polar,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 33UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-0JA470WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,61.2mA @ 10kHz,36mA @ 120Hz,1000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 47UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1HA4R7WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,30.6mA @ 10kHz,18mA @ 120Hz,1000 Hrs @ 85°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 4.7UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1EA100WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 85°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 10UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1CA220WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,47.6mA @ 10kHz,28mA @ 120Hz,1000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 22UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1E4R7R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 4.7UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,UWT1C100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,27mA @ 10kHz,18mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWT1H010MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,9.45mA @ 10kHz,6.3mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UWT1V4R7MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,22.5mA @ 10kHz,15mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-FC1C100R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1172.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,EMVE160ADA100MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,,17mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,EMVE500ADA1R0MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,,8mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,EMVE630ADA1R0MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,,8mA @ 120Hz,1000 Hrs @ 105°C,Polar,63V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,CAP ALUM 1UF 20% 63V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,EMVA250ADA100MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,36mA @ 100kHz,24mA @ 120Hz,2000 Hrs @ 85°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 10UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,General Purpose,EMVA630ADA2R2MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,,18mA @ 100kHz,12mA @ 120Hz,2000 Hrs @ 85°C,Polar,63V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 2.2UF 20% 63V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,General Purpose,EMVA350ADA100MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,36mA @ 100kHz,24mA @ 120Hz,2000 Hrs @ 85°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 10UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,General Purpose,EMVA160ADA220MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,28.08mA @ 100kHz,26mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 22UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,Automotive,EEE-FC1V1R0R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1172.pdf,CAP ALUM 1UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC1H1R0R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,5 Ohms,30mA @ 100kHz,22.5mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1172.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC1V4R7R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1172.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FC1V2R2R,"capacitors\Capacitor_AL,capacitors\Capacitor_p",2.2uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1172.pdf,CAP ALUM 2.2UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1V100WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 10UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1C220WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,47.6mA @ 10kHz,28mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 22UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA0J470WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,61.2mA @ 10kHz,36mA @ 120Hz,1000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 47UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HA1E100WR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,37.4mA @ 10kHz,22mA @ 120Hz,1000 Hrs @ 105°C,Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 10UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,AVE106M16B12T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,33.16Ohm @ 120Hz,,32.5mA @ 10kHz,26mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.cde.com/resources/catalogs/AVE.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Cornell Dubilier Electronics (CDE),,,
,Automotive,EEE-1EA3R3NR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",3.3uF,±20%,,,20.4mA @ 10kHz,12mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,25V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf",CAP ALUM 3.3UF 20% 25V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,General Purpose,EMVY350ADA4R7MD55G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,3 Ohms,60mA @ 100kHz,21mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mvy,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,High Temperature Reflow,UWZ1C100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,27mA @ 10kHz,18mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,CAP ALUM 10UF 20% 16V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-FC1V1R0AR,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,3 Ohms,60mA @ 100kHz,45mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1169.pdf,CAP ALUM 1UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,"Automotive, Bypass, Decoupling",AVS475M35B12T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,42.4Ohm @ 120Hz,,37.4mA @ 10kHz,22mA @ 120Hz,2000 Hrs @ 85°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://www.cde.com/resources/catalogs/AVS.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Cornell Dubilier Electronics (CDE),,,
,General Purpose,UWX1H010MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1uF,±20%,,,12.6mA @ 10kHz,8.4mA @ 120Hz,2000 Hrs @ 85°C,Polar,50V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,CAP ALUM 1UF 20% 50V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWX1V4R7MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,,,27mA @ 10kHz,18mA @ 120Hz,2000 Hrs @ 85°C,Polar,35V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,CAP ALUM 4.7UF 20% 35V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UWX0G470MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,49.5mA @ 10kHz,33mA @ 120Hz,2000 Hrs @ 85°C,Polar,4V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwx.pdf,CAP ALUM 47UF 20% 4V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-40°C ~ 85°C,,Nichicon,,,
