Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Number of Resistors,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,EXB-N8V180JX,,18,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 18 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V131JX,,130,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 130 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V4R3JX,,4.3,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 4.3 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V111JX,,110,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 110 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V121JX,,120,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 120 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,741C083820JP,,82,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.ctscorp.com/wp-content/uploads/74x.pdf,RES ARRAY 4 RES 82 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,CTS Resistor Products,,,
,EXB-N8V330JX,,33,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 33 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,741C083470JP,,47,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.ctscorp.com/wp-content/uploads/74x.pdf,RES ARRAY 4 RES 47 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,CTS Resistor Products,,,
,CAT10-151J4LF,,150,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.bourns.com/docs/Product-Datasheets/CAT10.pdf,RES ARRAY 4 RES 150 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±250ppm/°C,-55°C ~ 125°C,,Bourns Inc.,,,
,EXB-N8V220JX,,22,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 22 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V103JX,,10k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 10K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
